,PRODUCT-ASSY TYPE,Task,Takt
1344,BGATSOCKETNEWPO,LID CONCEPT - INQUIRY,0.0
1345,FPSOCKETNEWPO,LID CONCEPT - INQUIRY,0.0
1346,LGATSOCKETNEWPO,LID CONCEPT - INQUIRY,0.0
1347,OTQSOCKETNEWPO,LID CONCEPT - INQUIRY,0.0
1348,QFNSOCKETNEWPO,LID CONCEPT - INQUIRY,0.0
1349,STRIPSOCKETNEWPO,LID CONCEPT - INQUIRY,0.0
1350,WCSPSOCKETNEWPO,LID CONCEPT - INQUIRY,0.0
1351,JAGUARSOCKETNEWPO,LID CONCEPT - INQUIRY,0.0
1352,BGATLIDNEWPO,LID CONCEPT - INQUIRY,0.0
1353,FPLIDNEWPO,LID CONCEPT - INQUIRY,0.0
1354,LGATLIDNEWPO,LID CONCEPT - INQUIRY,0.0
1355,OTQLIDNEWPO,LID CONCEPT - INQUIRY,0.0
1356,QFNLIDNEWPO,LID CONCEPT - INQUIRY,0.0
1357,STRIPLIDNEWPO,LID CONCEPT - INQUIRY,0.0
1358,WCSPLIDNEWPO,LID CONCEPT - INQUIRY,0.0
1359,JAGUARLIDNEWPO,LID CONCEPT - INQUIRY,0.0
1360,BGATPARTNEWPO,LID CONCEPT - INQUIRY,0.0
1361,FPPARTNEWPO,LID CONCEPT - INQUIRY,0.0
1362,LGATPARTNEWPO,LID CONCEPT - INQUIRY,0.0
1363,OTQPARTNEWPO,LID CONCEPT - INQUIRY,0.0
1364,QFNPARTNEWPO,LID CONCEPT - INQUIRY,0.0
1365,STRIPPARTNEWPO,LID CONCEPT - INQUIRY,0.0
1366,WCSPPARTNEWPO,LID CONCEPT - INQUIRY,0.0
1367,JAGUARPARTNEWPO,LID CONCEPT - INQUIRY,0.0
1368,BGATSOCKET & LIDNEWPO,LID CONCEPT - INQUIRY,0.0
1369,FPSOCKET & LIDNEWPO,LID CONCEPT - INQUIRY,0.0
1370,LGATSOCKET & LIDNEWPO,LID CONCEPT - INQUIRY,0.0
1371,OTQSOCKET & LIDNEWPO,LID CONCEPT - INQUIRY,0.0
1372,QFNSOCKET & LIDNEWPO,LID CONCEPT - INQUIRY,0.0
1373,STRIPSOCKET & LIDNEWPO,LID CONCEPT - INQUIRY,0.0
1374,WCSPSOCKET & LIDNEWPO,LID CONCEPT - INQUIRY,0.0
1375,JAGUARSOCKET & LIDNEWPO,LID CONCEPT - INQUIRY,0.0
1376,BGATSOCKETW/ REFPO,LID CONCEPT - INQUIRY,0.0
1377,FPSOCKETW/ REFPO,LID CONCEPT - INQUIRY,0.0
1378,LGATSOCKETW/ REFPO,LID CONCEPT - INQUIRY,0.0
1379,OTQSOCKETW/ REFPO,LID CONCEPT - INQUIRY,0.0
1380,QFNSOCKETW/ REFPO,LID CONCEPT - INQUIRY,0.0
1381,STRIPSOCKETW/ REFPO,LID CONCEPT - INQUIRY,0.0
1382,WCSPSOCKETW/ REFPO,LID CONCEPT - INQUIRY,0.0
1383,JAGUARSOCKETW/ REFPO,LID CONCEPT - INQUIRY,0.0
1384,BGATLIDW/ REFPO,LID CONCEPT - INQUIRY,0.0
1385,FPLIDW/ REFPO,LID CONCEPT - INQUIRY,0.0
1386,LGATLIDW/ REFPO,LID CONCEPT - INQUIRY,0.0
1387,OTQLIDW/ REFPO,LID CONCEPT - INQUIRY,0.0
1388,QFNLIDW/ REFPO,LID CONCEPT - INQUIRY,0.0
1389,STRIPLIDW/ REFPO,LID CONCEPT - INQUIRY,0.0
1390,WCSPLIDW/ REFPO,LID CONCEPT - INQUIRY,0.0
1391,JAGUARLIDW/ REFPO,LID CONCEPT - INQUIRY,0.0
1392,BGATPARTW/ REFPO,LID CONCEPT - INQUIRY,0.0
1393,FPPARTW/ REFPO,LID CONCEPT - INQUIRY,0.0
1394,LGATPARTW/ REFPO,LID CONCEPT - INQUIRY,0.0
1395,OTQPARTW/ REFPO,LID CONCEPT - INQUIRY,0.0
1396,QFNPARTW/ REFPO,LID CONCEPT - INQUIRY,0.0
1397,STRIPPARTW/ REFPO,LID CONCEPT - INQUIRY,0.0
1398,WCSPPARTW/ REFPO,LID CONCEPT - INQUIRY,0.0
1399,JAGUARPARTW/ REFPO,LID CONCEPT - INQUIRY,0.0
1400,BGATSOCKET & LIDW/ REFPO,LID CONCEPT - INQUIRY,0.0
1401,FPSOCKET & LIDW/ REFPO,LID CONCEPT - INQUIRY,0.0
1402,LGATSOCKET & LIDW/ REFPO,LID CONCEPT - INQUIRY,0.0
1403,OTQSOCKET & LIDW/ REFPO,LID CONCEPT - INQUIRY,0.0
1404,QFNSOCKET & LIDW/ REFPO,LID CONCEPT - INQUIRY,0.0
1405,STRIPSOCKET & LIDW/ REFPO,LID CONCEPT - INQUIRY,0.0
1406,WCSPSOCKET & LIDW/ REFPO,LID CONCEPT - INQUIRY,0.0
1407,JAGUARSOCKET & LIDW/ REFPO,LID CONCEPT - INQUIRY,0.0
1408,BGATSOCKETNEWINQUIRY,BOM FOR COSTING,1.0
1409,FPSOCKETNEWINQUIRY,BOM FOR COSTING,1.0
1410,LGATSOCKETNEWINQUIRY,BOM FOR COSTING,1.0
1411,OTQSOCKETNEWINQUIRY,BOM FOR COSTING,1.0
1412,QFNSOCKETNEWINQUIRY,BOM FOR COSTING,1.0
1413,STRIPSOCKETNEWINQUIRY,BOM FOR COSTING,1.0
1414,WCSPSOCKETNEWINQUIRY,BOM FOR COSTING,1.0
1415,JAGUARSOCKETNEWINQUIRY,BOM FOR COSTING,1.0
1416,BGATLIDNEWINQUIRY,BOM FOR COSTING,1.0
1417,FPLIDNEWINQUIRY,BOM FOR COSTING,1.0
1418,LGATLIDNEWINQUIRY,BOM FOR COSTING,1.0
1419,OTQLIDNEWINQUIRY,BOM FOR COSTING,1.0
1420,QFNLIDNEWINQUIRY,BOM FOR COSTING,1.0
1421,STRIPLIDNEWINQUIRY,BOM FOR COSTING,1.0
1422,WCSPLIDNEWINQUIRY,BOM FOR COSTING,1.0
1423,JAGUARLIDNEWINQUIRY,BOM FOR COSTING,1.0
1424,BGATSOCKET & LIDNEWINQUIRY,BOM FOR COSTING,2.0
1425,FPSOCKET & LIDNEWINQUIRY,BOM FOR COSTING,2.0
1426,LGATSOCKET & LIDNEWINQUIRY,BOM FOR COSTING,2.0
1427,OTQSOCKET & LIDNEWINQUIRY,BOM FOR COSTING,2.0
1428,QFNSOCKET & LIDNEWINQUIRY,BOM FOR COSTING,2.0
1429,STRIPSOCKET & LIDNEWINQUIRY,BOM FOR COSTING,2.0
1430,WCSPSOCKET & LIDNEWINQUIRY,BOM FOR COSTING,2.0
1431,JAGUARSOCKET & LIDNEWINQUIRY,BOM FOR COSTING,2.0
1432,BGATPARTNEWINQUIRY,BOM FOR COSTING,1.0
1433,FPPARTNEWINQUIRY,BOM FOR COSTING,1.0
1434,LGATPARTNEWINQUIRY,BOM FOR COSTING,1.0
1435,OTQPARTNEWINQUIRY,BOM FOR COSTING,1.0
1436,QFNPARTNEWINQUIRY,BOM FOR COSTING,1.0
1437,STRIPPARTNEWINQUIRY,BOM FOR COSTING,1.0
1438,WCSPPARTNEWINQUIRY,BOM FOR COSTING,1.0
1439,JAGUARPARTNEWINQUIRY,BOM FOR COSTING,1.0
1440,BGATSOCKETW/ REFINQUIRY,BOM FOR COSTING,1.0
1441,FPSOCKETW/ REFINQUIRY,BOM FOR COSTING,1.0
1442,LGATSOCKETW/ REFINQUIRY,BOM FOR COSTING,1.0
1443,OTQSOCKETW/ REFINQUIRY,BOM FOR COSTING,1.0
1444,QFNSOCKETW/ REFINQUIRY,BOM FOR COSTING,1.0
1445,STRIPSOCKETW/ REFINQUIRY,BOM FOR COSTING,1.0
1446,WCSPSOCKETW/ REFINQUIRY,BOM FOR COSTING,1.0
1447,JAGUARSOCKETW/ REFINQUIRY,BOM FOR COSTING,1.0
1448,BGATLIDW/ REFINQUIRY,BOM FOR COSTING,1.0
1449,FPLIDW/ REFINQUIRY,BOM FOR COSTING,1.0
1450,LGATLIDW/ REFINQUIRY,BOM FOR COSTING,1.0
1451,OTQLIDW/ REFINQUIRY,BOM FOR COSTING,1.0
1452,QFNLIDW/ REFINQUIRY,BOM FOR COSTING,1.0
1453,STRIPLIDW/ REFINQUIRY,BOM FOR COSTING,1.0
1454,WCSPLIDW/ REFINQUIRY,BOM FOR COSTING,1.0
1455,JAGUARLIDW/ REFINQUIRY,BOM FOR COSTING,1.0
1456,BGATSOCKET & LIDW/ REFINQUIRY,BOM FOR COSTING,2.0
1457,FPSOCKET & LIDW/ REFINQUIRY,BOM FOR COSTING,2.0
1458,LGATSOCKET & LIDW/ REFINQUIRY,BOM FOR COSTING,2.0
1459,OTQSOCKET & LIDW/ REFINQUIRY,BOM FOR COSTING,2.0
1460,QFNSOCKET & LIDW/ REFINQUIRY,BOM FOR COSTING,2.0
1461,STRIPSOCKET & LIDW/ REFINQUIRY,BOM FOR COSTING,2.0
1462,WCSPSOCKET & LIDW/ REFINQUIRY,BOM FOR COSTING,2.0
1463,JAGUARSOCKET & LIDW/ REFINQUIRY,BOM FOR COSTING,2.0
1464,BGATPARTW/ REFINQUIRY,BOM FOR COSTING,1.0
1465,FPPARTW/ REFINQUIRY,BOM FOR COSTING,1.0
1466,LGATPARTW/ REFINQUIRY,BOM FOR COSTING,1.0
1467,OTQPARTW/ REFINQUIRY,BOM FOR COSTING,1.0
1468,QFNPARTW/ REFINQUIRY,BOM FOR COSTING,1.0
1469,STRIPPARTW/ REFINQUIRY,BOM FOR COSTING,1.0
1470,WCSPPARTW/ REFINQUIRY,BOM FOR COSTING,1.0
1471,JAGUARPARTW/ REFINQUIRY,BOM FOR COSTING,1.0
1472,BGATSOCKETNEWPO,BOM FOR COSTING,0.0
1473,FPSOCKETNEWPO,BOM FOR COSTING,0.0
1474,LGATSOCKETNEWPO,BOM FOR COSTING,0.0
1475,OTQSOCKETNEWPO,BOM FOR COSTING,0.0
1476,QFNSOCKETNEWPO,BOM FOR COSTING,0.0
1477,STRIPSOCKETNEWPO,BOM FOR COSTING,0.0
1478,WCSPSOCKETNEWPO,BOM FOR COSTING,0.0
1479,JAGUARSOCKETNEWPO,BOM FOR COSTING,0.0
1480,BGATLIDNEWPO,BOM FOR COSTING,0.0
1481,FPLIDNEWPO,BOM FOR COSTING,0.0
1482,LGATLIDNEWPO,BOM FOR COSTING,0.0
1483,OTQLIDNEWPO,BOM FOR COSTING,0.0
1484,QFNLIDNEWPO,BOM FOR COSTING,0.0
1485,STRIPLIDNEWPO,BOM FOR COSTING,0.0
1486,WCSPLIDNEWPO,BOM FOR COSTING,0.0
1487,JAGUARLIDNEWPO,BOM FOR COSTING,0.0
1488,BGATPARTNEWPO,BOM FOR COSTING,0.0
1489,FPPARTNEWPO,BOM FOR COSTING,0.0
1490,LGATPARTNEWPO,BOM FOR COSTING,0.0
1491,OTQPARTNEWPO,BOM FOR COSTING,0.0
1492,QFNPARTNEWPO,BOM FOR COSTING,0.0
1493,STRIPPARTNEWPO,BOM FOR COSTING,0.0
1494,WCSPPARTNEWPO,BOM FOR COSTING,0.0
1495,JAGUARPARTNEWPO,BOM FOR COSTING,0.0
1496,BGATSOCKET & LIDNEWPO,BOM FOR COSTING,0.0
1497,FPSOCKET & LIDNEWPO,BOM FOR COSTING,0.0
1498,LGATSOCKET & LIDNEWPO,BOM FOR COSTING,0.0
1499,OTQSOCKET & LIDNEWPO,BOM FOR COSTING,0.0
1500,QFNSOCKET & LIDNEWPO,BOM FOR COSTING,0.0
1501,STRIPSOCKET & LIDNEWPO,BOM FOR COSTING,0.0
1502,WCSPSOCKET & LIDNEWPO,BOM FOR COSTING,0.0
1503,JAGUARSOCKET & LIDNEWPO,BOM FOR COSTING,0.0
1504,BGATSOCKETW/ REFPO,BOM FOR COSTING,0.0
1505,FPSOCKETW/ REFPO,BOM FOR COSTING,0.0
1506,LGATSOCKETW/ REFPO,BOM FOR COSTING,0.0
1507,OTQSOCKETW/ REFPO,BOM FOR COSTING,0.0
1508,QFNSOCKETW/ REFPO,BOM FOR COSTING,0.0
1509,STRIPSOCKETW/ REFPO,BOM FOR COSTING,0.0
1510,WCSPSOCKETW/ REFPO,BOM FOR COSTING,0.0
1511,JAGUARSOCKETW/ REFPO,BOM FOR COSTING,0.0
1512,BGATLIDW/ REFPO,BOM FOR COSTING,0.0
1513,FPLIDW/ REFPO,BOM FOR COSTING,0.0
1514,LGATLIDW/ REFPO,BOM FOR COSTING,0.0
1515,OTQLIDW/ REFPO,BOM FOR COSTING,0.0
1516,QFNLIDW/ REFPO,BOM FOR COSTING,0.0
1517,STRIPLIDW/ REFPO,BOM FOR COSTING,0.0
1518,WCSPLIDW/ REFPO,BOM FOR COSTING,0.0
1519,JAGUARLIDW/ REFPO,BOM FOR COSTING,0.0
1520,BGATPARTW/ REFPO,BOM FOR COSTING,0.0
1521,FPPARTW/ REFPO,BOM FOR COSTING,0.0
1522,LGATPARTW/ REFPO,BOM FOR COSTING,0.0
1523,OTQPARTW/ REFPO,BOM FOR COSTING,0.0
1524,QFNPARTW/ REFPO,BOM FOR COSTING,0.0
1525,STRIPPARTW/ REFPO,BOM FOR COSTING,0.0
1526,WCSPPARTW/ REFPO,BOM FOR COSTING,0.0
1527,JAGUARPARTW/ REFPO,BOM FOR COSTING,0.0
1528,BGATSOCKET & LIDW/ REFPO,BOM FOR COSTING,0.0
1529,FPSOCKET & LIDW/ REFPO,BOM FOR COSTING,0.0
1530,LGATSOCKET & LIDW/ REFPO,BOM FOR COSTING,0.0
1531,OTQSOCKET & LIDW/ REFPO,BOM FOR COSTING,0.0
1532,QFNSOCKET & LIDW/ REFPO,BOM FOR COSTING,0.0
1533,STRIPSOCKET & LIDW/ REFPO,BOM FOR COSTING,0.0
1534,WCSPSOCKET & LIDW/ REFPO,BOM FOR COSTING,0.0
1535,JAGUARSOCKET & LIDW/ REFPO,BOM FOR COSTING,0.0
1536,BGATSOCKETNEWINQUIRY,DRAWING - 2D&3D PARTS,0.0
1537,FPSOCKETNEWINQUIRY,DRAWING - 2D&3D PARTS,0.0
1538,LGATSOCKETNEWINQUIRY,DRAWING - 2D&3D PARTS,0.0
1539,OTQSOCKETNEWINQUIRY,DRAWING - 2D&3D PARTS,0.0
1540,QFNSOCKETNEWINQUIRY,DRAWING - 2D&3D PARTS,0.0
1541,STRIPSOCKETNEWINQUIRY,DRAWING - 2D&3D PARTS,0.0
1542,WCSPSOCKETNEWINQUIRY,DRAWING - 2D&3D PARTS,0.0
1543,JAGUARSOCKETNEWINQUIRY,DRAWING - 2D&3D PARTS,0.0
1544,BGATLIDNEWINQUIRY,DRAWING - 2D&3D PARTS,0.0
1545,FPLIDNEWINQUIRY,DRAWING - 2D&3D PARTS,0.0
1546,LGATLIDNEWINQUIRY,DRAWING - 2D&3D PARTS,0.0
1547,OTQLIDNEWINQUIRY,DRAWING - 2D&3D PARTS,0.0
1548,QFNLIDNEWINQUIRY,DRAWING - 2D&3D PARTS,0.0
1549,STRIPLIDNEWINQUIRY,DRAWING - 2D&3D PARTS,0.0
1550,WCSPLIDNEWINQUIRY,DRAWING - 2D&3D PARTS,0.0
1551,JAGUARLIDNEWINQUIRY,DRAWING - 2D&3D PARTS,0.0
1552,BGATSOCKET & LIDNEWINQUIRY,DRAWING - 2D&3D PARTS,0.0
1553,FPSOCKET & LIDNEWINQUIRY,DRAWING - 2D&3D PARTS,0.0
1554,LGATSOCKET & LIDNEWINQUIRY,DRAWING - 2D&3D PARTS,0.0
1555,OTQSOCKET & LIDNEWINQUIRY,DRAWING - 2D&3D PARTS,0.0
1556,QFNSOCKET & LIDNEWINQUIRY,DRAWING - 2D&3D PARTS,0.0
1557,STRIPSOCKET & LIDNEWINQUIRY,DRAWING - 2D&3D PARTS,0.0
1558,WCSPSOCKET & LIDNEWINQUIRY,DRAWING - 2D&3D PARTS,0.0
1559,JAGUARSOCKET & LIDNEWINQUIRY,DRAWING - 2D&3D PARTS,0.0
1560,BGATPARTNEWINQUIRY,DRAWING - 2D&3D PARTS,0.0
1561,FPPARTNEWINQUIRY,DRAWING - 2D&3D PARTS,0.0
1562,LGATPARTNEWINQUIRY,DRAWING - 2D&3D PARTS,0.0
1563,OTQPARTNEWINQUIRY,DRAWING - 2D&3D PARTS,0.0
1564,QFNPARTNEWINQUIRY,DRAWING - 2D&3D PARTS,0.0
1565,STRIPPARTNEWINQUIRY,DRAWING - 2D&3D PARTS,0.0
1566,WCSPPARTNEWINQUIRY,DRAWING - 2D&3D PARTS,0.0
1567,JAGUARPARTNEWINQUIRY,DRAWING - 2D&3D PARTS,0.0
1568,BGATSOCKETW/ REFINQUIRY,DRAWING - 2D&3D PARTS,0.0
1569,FPSOCKETW/ REFINQUIRY,DRAWING - 2D&3D PARTS,0.0
1570,LGATSOCKETW/ REFINQUIRY,DRAWING - 2D&3D PARTS,0.0
1571,OTQSOCKETW/ REFINQUIRY,DRAWING - 2D&3D PARTS,0.0
1572,QFNSOCKETW/ REFINQUIRY,DRAWING - 2D&3D PARTS,0.0
1573,STRIPSOCKETW/ REFINQUIRY,DRAWING - 2D&3D PARTS,0.0
1574,WCSPSOCKETW/ REFINQUIRY,DRAWING - 2D&3D PARTS,0.0
1575,JAGUARSOCKETW/ REFINQUIRY,DRAWING - 2D&3D PARTS,0.0
1576,BGATLIDW/ REFINQUIRY,DRAWING - 2D&3D PARTS,0.0
1577,FPLIDW/ REFINQUIRY,DRAWING - 2D&3D PARTS,0.0
1578,LGATLIDW/ REFINQUIRY,DRAWING - 2D&3D PARTS,0.0
1579,OTQLIDW/ REFINQUIRY,DRAWING - 2D&3D PARTS,0.0
1580,QFNLIDW/ REFINQUIRY,DRAWING - 2D&3D PARTS,0.0
1581,STRIPLIDW/ REFINQUIRY,DRAWING - 2D&3D PARTS,0.0
1582,WCSPLIDW/ REFINQUIRY,DRAWING - 2D&3D PARTS,0.0
1583,JAGUARLIDW/ REFINQUIRY,DRAWING - 2D&3D PARTS,0.0
1584,BGATSOCKET & LIDW/ REFINQUIRY,DRAWING - 2D&3D PARTS,0.0
1585,FPSOCKET & LIDW/ REFINQUIRY,DRAWING - 2D&3D PARTS,0.0
1586,LGATSOCKET & LIDW/ REFINQUIRY,DRAWING - 2D&3D PARTS,0.0
1587,OTQSOCKET & LIDW/ REFINQUIRY,DRAWING - 2D&3D PARTS,0.0
1588,QFNSOCKET & LIDW/ REFINQUIRY,DRAWING - 2D&3D PARTS,0.0
1589,STRIPSOCKET & LIDW/ REFINQUIRY,DRAWING - 2D&3D PARTS,0.0
1590,WCSPSOCKET & LIDW/ REFINQUIRY,DRAWING - 2D&3D PARTS,0.0
1591,JAGUARSOCKET & LIDW/ REFINQUIRY,DRAWING - 2D&3D PARTS,0.0
1592,BGATPARTW/ REFINQUIRY,DRAWING - 2D&3D PARTS,0.0
1593,FPPARTW/ REFINQUIRY,DRAWING - 2D&3D PARTS,0.0
1594,LGATPARTW/ REFINQUIRY,DRAWING - 2D&3D PARTS,0.0
1595,OTQPARTW/ REFINQUIRY,DRAWING - 2D&3D PARTS,0.0
1596,QFNPARTW/ REFINQUIRY,DRAWING - 2D&3D PARTS,0.0
1597,STRIPPARTW/ REFINQUIRY,DRAWING - 2D&3D PARTS,0.0
1598,WCSPPARTW/ REFINQUIRY,DRAWING - 2D&3D PARTS,0.0
1599,JAGUARPARTW/ REFINQUIRY,DRAWING - 2D&3D PARTS,0.0
1600,BGATSOCKETNEWPO,DRAWING - 2D&3D PARTS,7.0
1601,FPSOCKETNEWPO,DRAWING - 2D&3D PARTS,4.95
1602,LGATSOCKETNEWPO,DRAWING - 2D&3D PARTS,7.0
1603,OTQSOCKETNEWPO,DRAWING - 2D&3D PARTS,7.0
1604,QFNSOCKETNEWPO,DRAWING - 2D&3D PARTS,5.666666666666666
1605,STRIPSOCKETNEWPO,DRAWING - 2D&3D PARTS,5.5
1606,WCSPSOCKETNEWPO,DRAWING - 2D&3D PARTS,5.5
1607,JAGUARSOCKETNEWPO,DRAWING - 2D&3D PARTS,30.642857142857146
1608,BGATLIDNEWPO,DRAWING - 2D&3D PARTS,6.416666666666666
1609,FPLIDNEWPO,DRAWING - 2D&3D PARTS,4.033333333333333
1610,LGATLIDNEWPO,DRAWING - 2D&3D PARTS,6.416666666666666
1611,OTQLIDNEWPO,DRAWING - 2D&3D PARTS,6.416666666666666
1612,QFNLIDNEWPO,DRAWING - 2D&3D PARTS,5.333333333333333
1613,STRIPLIDNEWPO,DRAWING - 2D&3D PARTS,5.5
1614,WCSPLIDNEWPO,DRAWING - 2D&3D PARTS,5.5
1615,JAGUARLIDNEWPO,DRAWING - 2D&3D PARTS,12.812555555555557
1616,BGATPARTNEWPO,DRAWING - 2D&3D PARTS,3.0
1617,FPPARTNEWPO,DRAWING - 2D&3D PARTS,2.0
1618,LGATPARTNEWPO,DRAWING - 2D&3D PARTS,3.0
1619,OTQPARTNEWPO,DRAWING - 2D&3D PARTS,3.0
1620,QFNPARTNEWPO,DRAWING - 2D&3D PARTS,2.0
1621,STRIPPARTNEWPO,DRAWING - 2D&3D PARTS,2.0
1622,WCSPPARTNEWPO,DRAWING - 2D&3D PARTS,2.0
1623,JAGUARPARTNEWPO,DRAWING - 2D&3D PARTS,6.0
1624,BGATSOCKET & LIDNEWPO,DRAWING - 2D&3D PARTS,13.416666666666666
1625,FPSOCKET & LIDNEWPO,DRAWING - 2D&3D PARTS,12.416666666666666
1626,LGATSOCKET & LIDNEWPO,DRAWING - 2D&3D PARTS,13.416666666666666
1627,OTQSOCKET & LIDNEWPO,DRAWING - 2D&3D PARTS,13.416666666666666
1628,QFNSOCKET & LIDNEWPO,DRAWING - 2D&3D PARTS,11.0
1629,STRIPSOCKET & LIDNEWPO,DRAWING - 2D&3D PARTS,11.0
1630,WCSPSOCKET & LIDNEWPO,DRAWING - 2D&3D PARTS,11.0
1631,JAGUARSOCKET & LIDNEWPO,DRAWING - 2D&3D PARTS,65.025
1632,BGATSOCKETW/ REFPO,DRAWING - 2D&3D PARTS,4.33
1633,FPSOCKETW/ REFPO,DRAWING - 2D&3D PARTS,3.1666666666666665
1634,LGATSOCKETW/ REFPO,DRAWING - 2D&3D PARTS,4.33
1635,OTQSOCKETW/ REFPO,DRAWING - 2D&3D PARTS,4.33
1636,QFNSOCKETW/ REFPO,DRAWING - 2D&3D PARTS,8.25
1637,STRIPSOCKETW/ REFPO,DRAWING - 2D&3D PARTS,3.5
1638,WCSPSOCKETW/ REFPO,DRAWING - 2D&3D PARTS,3.5
1639,JAGUARSOCKETW/ REFPO,DRAWING - 2D&3D PARTS,18.993103448275864
1640,BGATLIDW/ REFPO,DRAWING - 2D&3D PARTS,3.5
1641,FPLIDW/ REFPO,DRAWING - 2D&3D PARTS,3.0
1642,LGATLIDW/ REFPO,DRAWING - 2D&3D PARTS,3.5
1643,OTQLIDW/ REFPO,DRAWING - 2D&3D PARTS,3.5
1644,QFNLIDW/ REFPO,DRAWING - 2D&3D PARTS,6.050000000000001
1645,STRIPLIDW/ REFPO,DRAWING - 2D&3D PARTS,3.5
1646,WCSPLIDW/ REFPO,DRAWING - 2D&3D PARTS,3.5
1647,JAGUARLIDW/ REFPO,DRAWING - 2D&3D PARTS,19.125
1648,BGATPARTW/ REFPO,DRAWING - 2D&3D PARTS,3.0
1649,FPPARTW/ REFPO,DRAWING - 2D&3D PARTS,2.0
1650,LGATPARTW/ REFPO,DRAWING - 2D&3D PARTS,3.0
1651,OTQPARTW/ REFPO,DRAWING - 2D&3D PARTS,3.0
1652,QFNPARTW/ REFPO,DRAWING - 2D&3D PARTS,2.0
1653,STRIPPARTW/ REFPO,DRAWING - 2D&3D PARTS,2.0
1654,WCSPPARTW/ REFPO,DRAWING - 2D&3D PARTS,2.0
1655,JAGUARPARTW/ REFPO,DRAWING - 2D&3D PARTS,6.0
1656,BGATSOCKET & LIDW/ REFPO,DRAWING - 2D&3D PARTS,7.83
1657,FPSOCKET & LIDW/ REFPO,DRAWING - 2D&3D PARTS,6.166666666666666
1658,LGATSOCKET & LIDW/ REFPO,DRAWING - 2D&3D PARTS,7.83
1659,OTQSOCKET & LIDW/ REFPO,DRAWING - 2D&3D PARTS,7.83
1660,QFNSOCKET & LIDW/ REFPO,DRAWING - 2D&3D PARTS,5.666666666666667
1661,STRIPSOCKET & LIDW/ REFPO,DRAWING - 2D&3D PARTS,7.0
1662,WCSPSOCKET & LIDW/ REFPO,DRAWING - 2D&3D PARTS,7.0
1663,JAGUARSOCKET & LIDW/ REFPO,DRAWING - 2D&3D PARTS,38.11810344827586
1664,BGATSOCKETNEWINQUIRY,PARTS INITIAL CHECKING,0.0
1665,FPSOCKETNEWINQUIRY,PARTS INITIAL CHECKING,0.0
1666,LGATSOCKETNEWINQUIRY,PARTS INITIAL CHECKING,0.0
1667,OTQSOCKETNEWINQUIRY,PARTS INITIAL CHECKING,0.0
1668,QFNSOCKETNEWINQUIRY,PARTS INITIAL CHECKING,0.0
1669,STRIPSOCKETNEWINQUIRY,PARTS INITIAL CHECKING,0.0
1670,WCSPSOCKETNEWINQUIRY,PARTS INITIAL CHECKING,0.0
1671,JAGUARSOCKETNEWINQUIRY,PARTS INITIAL CHECKING,0.0
1672,BGATLIDNEWINQUIRY,PARTS INITIAL CHECKING,0.0
1673,FPLIDNEWINQUIRY,PARTS INITIAL CHECKING,0.0
1674,LGATLIDNEWINQUIRY,PARTS INITIAL CHECKING,0.0
1675,OTQLIDNEWINQUIRY,PARTS INITIAL CHECKING,0.0
1676,QFNLIDNEWINQUIRY,PARTS INITIAL CHECKING,0.0
1677,STRIPLIDNEWINQUIRY,PARTS INITIAL CHECKING,0.0
1678,WCSPLIDNEWINQUIRY,PARTS INITIAL CHECKING,0.0
1679,JAGUARLIDNEWINQUIRY,PARTS INITIAL CHECKING,0.0
1680,BGATSOCKET & LIDNEWINQUIRY,PARTS INITIAL CHECKING,0.0
1681,FPSOCKET & LIDNEWINQUIRY,PARTS INITIAL CHECKING,0.0
1682,LGATSOCKET & LIDNEWINQUIRY,PARTS INITIAL CHECKING,0.0
1683,OTQSOCKET & LIDNEWINQUIRY,PARTS INITIAL CHECKING,0.0
1684,QFNSOCKET & LIDNEWINQUIRY,PARTS INITIAL CHECKING,0.0
1685,STRIPSOCKET & LIDNEWINQUIRY,PARTS INITIAL CHECKING,0.0
1686,WCSPSOCKET & LIDNEWINQUIRY,PARTS INITIAL CHECKING,0.0
1687,JAGUARSOCKET & LIDNEWINQUIRY,PARTS INITIAL CHECKING,0.0
1688,BGATPARTNEWINQUIRY,PARTS INITIAL CHECKING,0.0
1689,FPPARTNEWINQUIRY,PARTS INITIAL CHECKING,0.0
1690,LGATPARTNEWINQUIRY,PARTS INITIAL CHECKING,0.0
1691,OTQPARTNEWINQUIRY,PARTS INITIAL CHECKING,0.0
1692,QFNPARTNEWINQUIRY,PARTS INITIAL CHECKING,0.0
1693,STRIPPARTNEWINQUIRY,PARTS INITIAL CHECKING,0.0
1694,WCSPPARTNEWINQUIRY,PARTS INITIAL CHECKING,0.0
1695,JAGUARPARTNEWINQUIRY,PARTS INITIAL CHECKING,0.0
1696,BGATSOCKETW/ REFINQUIRY,PARTS INITIAL CHECKING,0.0
1697,FPSOCKETW/ REFINQUIRY,PARTS INITIAL CHECKING,0.0
1698,LGATSOCKETW/ REFINQUIRY,PARTS INITIAL CHECKING,0.0
1699,OTQSOCKETW/ REFINQUIRY,PARTS INITIAL CHECKING,0.0
1700,QFNSOCKETW/ REFINQUIRY,PARTS INITIAL CHECKING,0.0
1701,STRIPSOCKETW/ REFINQUIRY,PARTS INITIAL CHECKING,0.0
1702,WCSPSOCKETW/ REFINQUIRY,PARTS INITIAL CHECKING,0.0
