iter	MAE
463	1.352046428
464	1.351524918
465	1.350590061
466	1.349001659
467	1.348941437
468	1.34878858
469	1.348364897
470	1.348151383
471	1.347942279
472	1.346704705
473	1.346426553
474	1.346347145
475	1.346126809
476	1.345581163
477	1.345309405
478	1.344937917
479	1.344486046
480	1.343786214
481	1.343572886
482	1.343528114
483	1.34234336
484	1.3418711
485	1.341613594
486	1.341356668
487	1.340979768
488	1.340675191
489	1.340596879
490	1.340461642
491	1.340155324
492	1.339856105
493	1.339101103
494	1.338945544
495	1.337559937
496	1.337290259
497	1.337005914
498	1.336891131
499	1.336514509
500	1.336322866
501	1.336102808
502	1.335819705
503	1.334963387
504	1.334898921
505	1.334755086
506	1.334573935
507	1.334500073
508	1.33411451
509	1.333885738
510	1.33351693
511	1.333180531
512	1.333014212
513	1.332774202
514	1.332159955
515	1.331655663
516	1.331466273
517	1.331362549
518	1.330933702
519	1.330766247
520	1.330651133
521	1.330219046
522	1.330162277
523	1.330146818
524	1.330122037
525	1.329927518
526	1.329469011
527	1.32873309
528	1.328699179
529	1.328545382
530	1.328440691
531	1.328221987
532	1.327866317
533	1.327716571
534	1.327520795
535	1.327501574
536	1.327039209
537	1.326712427
538	1.32640374
539	1.326351454
540	1.326112359
541	1.326061383
542	1.325895648
543	1.325776563
544	1.325694382
545	1.32545049
546	1.325323683
547	1.325177887
548	1.324075046
549	1.323947948
550	1.323464565
551	1.323277288
552	1.323148397
553	1.323113192
554	1.32284311
555	1.321972691
556	1.321889376
557	1.321693055
558	1.321138082
559	1.320492292
560	1.320432953
561	1.31789945
562	1.317800522
563	1.316152213
564	1.315341721
565	1.315193341
566	1.315106028
567	1.31410834
568	1.313899192
569	1.311982062
570	1.311716312
571	1.311664711
572	1.31155559
573	1.3114282
574	1.311346528
575	1.308525204
576	1.308429169
577	1.308362415
578	1.308214732
579	1.3078053
580	1.307627709
581	1.307153698
582	1.307118539
583	1.306937003
584	1.306765602
585	1.306611732
586	1.306526746
587	1.306380283
588	1.306133459
589	1.305636564
590	1.30523088
591	1.304987069
592	1.304943066
593	1.304408815
594	1.304361368
595	1.304180201
596	1.303679818
597	1.303390721
598	1.302985223
599	1.302816656
600	1.302532087
601	1.302386315
602	1.301413657
603	1.301286398
604	1.301030105
605	1.300890122
606	1.300659575
607	1.300366622
608	1.299841555
609	1.299577312
610	1.299437008
611	1.299421245
612	1.299340124
613	1.299315577
614	1.299055004
615	1.298401438
616	1.298281537
617	1.29638355
618	1.295873754
619	1.295509383
620	1.295308351
621	1.294579034
622	1.294190572
623	1.294118229
624	1.293804456
625	1.293684506
626	1.29339456
627	1.293338995
628	1.293315732
629	1.292644356
630	1.291279001
631	1.289497519
632	1.288891057
633	1.288647904
634	1.288605824
635	1.288518298
636	1.288057387
637	1.288013629
638	1.287934456
639	1.287902306
640	1.287840423
641	1.283702777
642	1.283637803
643	1.283517735
644	1.282630081
645	1.282594661
646	1.282589857
647	1.282405135
648	1.282354419
649	1.282277404
650	1.282101026
651	1.282064492
652	1.281781765
653	1.281676725
654	1.281424198
655	1.281225247
656	1.280936615
657	1.280869417
658	1.280782703
659	1.280729893
660	1.280627717
661	1.280458865
662	1.280293824
663	1.280065516
664	1.280030185
665	1.279970418
666	1.279919828
667	1.279906654
668	1.279871539
669	1.279816319
670	1.279798934
671	1.279671453
672	1.279458873
673	1.278465025
674	1.278460297
675	1.278425167
676	1.278314086
677	1.278242696
678	1.277750548
679	1.277723423
680	1.27758354
681	1.277382913
682	1.277356241
683	1.277143441
684	1.27706503
685	1.276853254
686	1.276808164
687	1.276737554
688	1.276702932
689	1.27640465
690	1.276194289
691	1.276144002
692	1.275906209
693	1.275678838
694	1.275547617
695	1.275436931
696	1.275373901
697	1.275286031
698	1.27525189
699	1.274920382
700	1.274489479
701	1.274448774
702	1.274396546
703	1.274343175
704	1.274177879
705	1.273513138
706	1.273016143
707	1.271995909
708	1.271425028
709	1.27113611
710	1.27054606
711	1.270014398
712	1.269888092
713	1.269691895
714	1.269610562
715	1.269535136
716	1.269081155
717	1.269047607
718	1.268964024
719	1.268316748
720	1.267970686
721	1.267879708
722	1.267844116
723	1.267441487
724	1.267258002
725	1.267051616
726	1.266996009
727	1.266644275
728	1.264918803
729	1.264883476
730	1.264204558
731	1.264108745
732	1.264033771
733	1.26391132
734	1.26371543
735	1.263701225
736	1.263678028
737	1.263615217
738	1.263493872
739	1.263461246
740	1.26339755
741	1.263170148
742	1.263131665
743	1.26312076
744	1.262974715
745	1.261954494
746	1.261849489
747	1.261827817
748	1.261760213
749	1.261360338
750	1.260718224
751	1.260192185
752	1.257310697
753	1.257291853
754	1.25723308
755	1.255662176
756	1.255585997
757	1.25554379
758	1.255513048
759	1.254890507
760	1.25424575
761	1.254102808
762	1.253517615
763	1.253414014
764	1.253102261
765	1.253013466
766	1.252780895
767	1.252678019
768	1.251923727
769	1.251825488
770	1.251737844
771	1.251712983
772	1.251683714
773	1.251641743
774	1.24869846
775	1.248662075
776	1.248517696
777	1.24847983
778	1.248404955
779	1.248202549
780	1.248096227
781	1.248068004
782	1.248039999
783	1.247936285
784	1.247741935
785	1.247621948
786	1.24754865
787	1.247183534
788	1.246570718
789	1.245978388
790	1.24586243
791	1.245776779
792	1.245460768
793	1.245395523
794	1.244957607
795	1.244931539
796	1.244874485
797	1.244839642
798	1.244605352
799	1.244561664
800	1.244060475
801	1.2440214
802	1.243870326
803	1.243680183
804	1.243591561
805	1.242847976
806	1.242644212
807	1.242405427
808	1.242388782
809	1.24233665
810	1.242200414
811	1.242126054
812	1.242046555
813	1.241960566
814	1.241697468
815	1.241693189
816	1.241156844
817	1.240916671
818	1.240880535
819	1.240718968
820	1.23966234
821	1.23963087
822	1.239593909
823	1.238614801
824	1.23854019
825	1.238250911
826	1.237771897
827	1.237633988
828	1.237454511
829	1.237449613
830	1.237367066
831	1.237348469
832	1.237289383
833	1.237154772
834	1.237042265
835	1.236948177
836	1.236908935
837	1.236852337
838	1.236755529
839	1.236687512
